Rank,Name,City,Time,Race
92,Sarah Brinkley,Fond du Lac,3:24:59,Green Bay
93,Shannon Madigan,Green Bay,3:25:12,Twin Cities
94,Rebecca Metzler,Madison,3:25:30,Madison
95,Elizabeth Brothen,Milwaukee,3:25:39,Lakefront
96,Sarah Butts,Milwaukee,3:25:40,Columbus
97,Anna Mance,Wauwatosa,3:25:42,Lakefront
NA,Molly Hanten,Hudson,3:25:42,Boston
99,Laura Hoppe,Oshkosh,3:25:47,Rock 'n Roll (AZ)
100,Lissa Eastvold,Madison,3:25:48,Twin Cities
101,Maria Rose,Milwaukee,3:26:02,Chicago
102,Tara Osborn,Middleton,3:26:14,Rock 'n Roll (AZ)
103,Erin Beggs,Mount Horeb,3:26:19,Lakefront
104,Allison Pitt,Milwaukee,3:26:23,Lakefront
105,Paige Patenaude,Waukesha,3:26:24,Lakefront
106,Beth Hassler,Green Bay,3:26:55,Boston
107,Katie Mouzakis,Madison,3:27:16,Boston
108,Kathryn Rauscher,Sparta,3:27:21,Green Bay
109,Jennifer Steinhoff,Appleton,3:27:43,Fox Cities
110,Jessica Robbins,Madison,3:27:45,Boston
111,Lisa Tavares,Colfax,3:27:54,Eau Claire
112,Abbey O'Connell,Milwaukee,3:27:59,Las Vegas
113,Lisa Turner,Oconomowoc,3:28:02,Boston
114,Kristina Heinz,Franklin,3:28:03,Lakefront
115,Emma Tauchman,Stevens Point,3:28:09,Rock 'n Roll (Denver)
115,Jaime Kaufman,Appleton,3:28:12,Fox Cities
117,Aimee Kurian,Madison,3:28:21,Madison
118,Emily Stenhoff,Madison,3:28:26,Boston
119,Christine Wittleder,Oregon,3:28:31,WhistleStop
120,Trenni Kusnierek,Milwaukee,3:28:41,Philadelphia
121,Kimberly Simendinger,Green Bay,3:28:50,Boston
122,Laura Zoulek,Butler,3:28:53,Lakefront
123,Diane Wood,Kenosha,3:28:56,Lakefront
NA,Heather Flock,Beldenville,3:28:56,Twin Cities
125,Beth Senoraske,River Falls,3:28:58,Twin Cities
126,Alice Gauvin-Boshoven,Madison,3:29:07,Twin Cities
127,Karen Walrafen,De Forest,3:29:18,Marine Corps
128,Tracie Schirtzinger,Fontana,3:29:24,Chicago
129,Tia Keenan,Madison,3:29:26,Lakefront
130,Sarah Delany,Madison,3:29:32,Boston
131,Corey Bratt,Waukesha,3:29:43,Lakefront
132,Mary Erickson,Onalaska,3:29:58,La Crosse
