Rank,Name,City,Time,Race
1,Wendi Ray,Sister Bay,2:39:15,New York City
2,Julie Spencer,Baraboo,2:48:35,Boston
3,Katie Howery,Verona,2:52:45,Fox Cities
4,Mary Palmer,Eau Claire,2:53:45,Chicago
5,Agnes Eppers,Amberg,2:54:10,Chicago
6,Jennifer Chaudoir,Green Bay,2:57:14,Fox Cities
7,Emily Herzog,Madison,2:57:28,Green Bay
8,Carolyn Smith,Fox Point,2:58:36,Fox Cities
9,Valerie Hubbard,Kenosha,2:58:44,Columbus
10,Krista Cornelius,Green Bay,3:01:22,Green Bay
11,Nacole Fredrickson,Milwaukee,3:01:39,Lakefront
12,Elizabeth Paddock,Madison,3:02:10,Twin Cities
13,Laura Ankrum,Crivitz,3:03:55,Boston
14,Sue Miller,West Bend,3:04:13,Lakefront
15,J. Elizabeth Terveer,Whitefish Bay,3:04:37,Lakefront
16,Holly Fearing,Madison,3:06:11,Illinois
17,Amber Budahn,Milwaukee,3:06:46,Lakefront
18,Anne Ruffcorn,Milwaukee,3:06:53,Lakefront
19,Rebecca Suehring,Janesville,3:07:12,Fox Cities
20,Mary Flaws,Waukesha,3:08:17,Lakefront
21,Mary Bolich,Plymouth,3:08:32,Lakefront
22,Angela Krueger,Dousman,3:09:15,Indianapolis Monmumental
23,Rachel Paape,Elkhorn,3:09:16,Green Bay
24,April Cole,Roberts,3:09:29,Twin Cities
25,Wendy Miller,Waunakee,3:12:18,Eau Claire
26,Zoe Browne,La Crosse,3:13:01,Twin Cities
27,Terri Bodden,West Bend,3:13:14,Lakefront
28,Lindsey Purl,La Crosse,3:13:24,Boston
29,Jeanette Poole,Mequon,3:13:29,Boston
30,Tien-Tien Yu,NA,3:13:41,New York City
31,Corina Canitz,Brookfield,3:13:56,Lakefront
32,Molly Peterson,Brookfield,3:14:12,Fox Cities
33,Sarah Krueger,Madison,3:15:13,Chicago
34,Nikki Cahen,Beaver Dam,3:15:19,Madison
35,Annemarie Weiss,Milwaukee,3:15:25,Lakefront
36,Charlotte Reddeman,Arlington,3:16:01,Grandma's
37,Michelle Meier,Hartland,3:16:24,Lakefront
38,Courtney Susedik,South Milwaukee,3:16:29,Lakefront
39,Katie Wondra,Fond du Lac,3:16:45,Twin Cities
40,Megan Johnson,River Falls,3:16:49,Twin Cities
41,Leslie Lawton Schwalback,Milwaukee,3:16:55,Indianapolis Monmumental
42,Alice Boshoven,Madison,3:17:04,Fargo
NA,Amber Hertz,Madison,3:17:04,Green Bay
44,Mychelle Garay,Waukesha,3:17:07,Twin Cities
45,Ruth Swedler,Milwaukee,3:17:14,Lakefront
46,Jennifer Takata,St. Francis,3:18:07,Rock 'n Roll (AZ)
47,Erin Seffrood,Madison,3:18:14,Boston
48,Stacey Kincaid,Palmyra,3:18:18,Boston
49,Tina Pike,Madison,3:18:27,Chicago
50,Tara Argall,Prairie Du Sac,3:18:38,WhistleStop
51,Angie Radosevich,Appleton,3:18:41,Green Bay
52,Jeanette Kim,Mequon,3:18:56,Lakefront
53,Shawn Johnson,Muskego,3:18:58,Chicago
NA,Tiffany Ebensperger,Juda,3:18:58,Fox Cities
55,Jennifer Schweinert,Brookfield,3:19:25,Lakefront
56,Lea Spaay,Monona,3:19:31,Boston
57,Tammy Wagner,De Pere,3:19:48,Green Bay
58,Shannon Riley,La Crosse,3:20:00,Baltimore
59,Lisa Johns,Madison,3:20:03,Cape Cod
60,Cassie Nelson,Franklin,3:20:14,Chicago
61,Christine Cotey,Wauwatosa,3:20:51,Lakefront
62,Heather Lipinski Stelljes,Madison,3:21:06,Boston
63,Anna Siliciano,Madison,3:21:12,Madison
64,Anne Weiss,Milwaukee,3:21:29,Las Vegas
65,Victoria Dirkes,West Milwaukee,3:21:45,Lakefront
66,Maggie Fournier,NA,3:22:00,New York City
67,Hannah Klinger,Middleton,3:22:15,LA
68,Sara Drews,Horicon,3:22:26,Grand Rapids
69,Rachael Olson,New Richmond,3:22:39,Twin Cities
70,Sarah Standish,Madison,3:22:43,Madison
71,Jessica Anderson,Middleton,3:23:00,Boston
72,Danielle Buntrock,Paddock Lake,3:23:04,Chicago
NA,Trina Bower,Waukesha,3:23:04,Boston
74,Kathy Waldron,Brillion,3:23:17,Fox Cities
75,Stephanie Tainter,Antigo,3:23:35,Madison
76,Bryn Benford,Madison,3:23:36,Indianapolis Monmumental
77,Ashleigh Spees,Waukesha,3:23:42,Kentucky Derby Festival
NA,Marni McKenna Hendricks,De Pere,3:23:42,Green Bay
79,Becky Lake,Eau Claire,3:23:44,Eau Claire
80,Alisha Damrow,Menasha,3:23:47,Fox Cities
81,Anne Tully,McFarland,3:23:49,Madison
82,Sarah McCall,Eau Claire,3:23:54,Madison
83,Rachel Mikyska,West Bend,3:23:59,Green Bay
84,Leslie Olson,Oconomowoc,3:24:15,Grandma's
85,Angela Olson,Oshkosh,3:24:17,Twin Cities
86,Heidi Jarecki,Eau Claire,3:24:19,Boston
87,Jessica Appert,New Richmond,3:24:21,Boston
NA,Jodi Singsime,Jackson,3:24:21,Boston
89,Colleen Eland,Racine,3:24:26,Green Bay
90,Tiffany Pogodzinski,Muskego,3:24:31,La Crosse
91,Cleo Ferris,De Pere,3:24:35,Green Bay
