Rank,Name,City,Time,Race
111,Katie Fallon,NA,3:24:49,Madison
112,Shannon Huff,Sun Prairie,3:25:02,Milwaukee Running Festival
113,Mariette Stefferud,West Salem,3:25:04,Chicago
114,Jenna Southworth,NA,3:25:05,Madison
115,Rebecca Vanregenmorter,Milwaukee,3:25:06,Chicago
116,Kate Harrell,NA,3:25:12,Fox Cities
117,Tammy Zyduck,Waukesha,3:25:15,Mardi Gras
118,Amanda Rolbiecki,Cudahy,3:25:16,RnR - Country Music
119,Karla Kultgen,NA,3:25:20,Lakefront
120,Kara Sonntag,New Berlin,3:25:22,Boston
121,Haley Lillehei,Madison,3:25:27,Boston
122,Amber Kempf,Schofield,3:25:30,Chicago
123,Laura Burnham,Viroqua,3:25:37,Grandma's
124,Allison Duey-Holtz,Wauwatosa,3:25:41,Boston
125,Allison L Abbott,Shorewood,3:25:45,Boston
NA,Lauren Bennewitz,NA,3:25:45,Lakefront
127,Anne Tully,McFarland,3:25:47,Green Bay
128,Anna Howery,De Forest,3:25:49,Boston
129,Amy Schlotthauer,Menomonee Falls,3:25:50,Wisconsin
130,Kaitlyn Milner,St. Croix Falls,3:25:56,Boston
131,Karen Olsen,Little Suamico,3:26:06,Green Bay
132,Debbie Ivy,Holmen,3:26:07,Minoqua
NA,Lisa Martin,NA,3:26:07,Lakefront
134,Wendy Sorenson,Madison,3:26:09,Boston
135,Kelly Donoghue,Brookfield,3:26:16,Lakefront
136,Dominique Beaudin,Mukwonago,3:26:21,Kentucky Derby Festival
137,Amy Hartlieb,Madison,3:26:23,Richmond
138,Kelsey J. Reinhard,Milwaukee,3:26:33,Boston
139,Montel Melcher,Franksville,3:26:34,Grandma's
140,Kimberly Arbinger,NA,3:26:43,Lakefront
141,Wendi Quentin,Oak Creek,3:26:44,Milwaukee Running Festival
142,Valerie A Ingersoll,Manawa,3:26:47,Boston
143,Mary Jantz,Mount Pleasant,3:26:49,Rockford
144,Barbara Fagan,Milwaukee,3:26:52,Disney World
NA,Morgan Place,Ellsworth,3:26:52,Minneapolis
146,Jessica Robbins,NA,3:26:56,Lakefront
147,Corrine Deeg,Shell Lake,3:26:57,Twin Cities
148,Amy Zembroski,Muskego,3:26:59,Milwaukee Running Festival
149,Chiemi Muroi,Madison,3:27:00,Boston
150,Christina Lundberg,NA,3:27:02,Lakefront
NA,Susan Utley,Franklin,3:27:02,A1A
152,Jennifer Campbell,NA,3:27:09,Lakefront
NA,Kristin Lillie,NA,3:27:09,Lakefront
154,Hannah Sieve,Madison,3:27:21,Twin Cities
155,Amy Gleeson,Germantown,3:27:27,Chicago
156,Lauren Matosziuk,Madison,3:27:28,Boston
157,Jamie Kernan,Monona,3:27:29,Chicago
158,Jennifer Gendrich,NA,3:27:39,Lakefront
159,Megan Gang,NA,3:27:42,Lakefront
160,Jen Makovec,Madison,3:27:49,Philadelphia
NA,Melissa Henschel,Clintonville,3:27:49,Grandma's
162,Jill Kortebein,NA,3:27:51,Lakefront
163,Katie Scharenbroch,Sheboygan,3:27:52,Boston
164,Laura Caulfield,Pewaukee,3:27:56,Milwaukee Running Festival
165,Allison Holtz,NA,3:27:58,Lakefront
166,Hannah Dieringer,NA,3:28:13,Lakefront
NA,Susan Fischer,NA,3:28:13,Lakefront
168,Erin Zimmerman,Wausau,3:28:22,WhistleStop
169,Ana Penalver,Racine,3:28:34,Madison
170,Corey Bratt,NA,3:28:41,Lakefront
171,Erika Quinn,NA,3:28:42,Fox Cities
172,Sarah Floyd,NA,3:28:50,Lakefront
173,Andrea Nightengale,Siren,3:28:52,Grandma's
174,Nicole Marble,NA,3:29:00,Lakefront
175,Lisa Mautz,Delafield,3:29:03,Green Bay
176,Jessica Tamulion,Little Chute,3:29:10,Boston
177,Christine Cotey,NA,3:29:13,Lakefront
NA,Nicole Wizner,La Crosse,3:29:13,Grandma's
179,Donna Birschbach,NA,3:29:21,Madison
180,Teresa Kaiser,NA,3:29:31,Madison
181,Nicki Lazorik,Mellen,3:29:34,Journeys
182,Teri Hart,Wilton,3:29:47,Grandma's
