Rank,Name,City,Time,Race
1,Caitlin Comfort,Verona,2:35:39,Grandma's
2,Melissa Burkart,NA,2:43:40,Lakefront
3,Katie Schiemann,Middleton,2:45:38,Indianapolis Monumental
4,Jessica Monson,Burlington,2:46:00,Twin Cities
5,Naomi Fulton,Hartland,2:46:25,Chicago
6,Katie Howery,Middleton,2:47:20,Grandma's
7,Denise Manthy,Milwaukee,2:52:19,Lakefront
8,Corina Canitz,Brookfield,2:52:22,Boston
9,Steve Horn,Madison,2:54:59,Philadelphia
10,Amanda Cohen,Milwaukee,2:55:02,Milwaukee Running Festival
11,Jessa Hackman,NA,2:55:24,Lakefront
12,Samantha R. Gries,Cleveland,2:55:25,Boston
13,Stacey Kincaid,Palmyra,2:56:56,Illinois
14,Tammi Braund,Cushing,2:56:59,Grandma's
15,Ariel E Heitzman,Madison,2:57:13,Boston
16,Hannah Roeder,Madison,2:57:22,Grandma's
17,Holly Nearman,Milwaukee,2:58:18,Chicago
18,Jenny Zwagerman,Shorewood,2:58:39,Green Bay
19,Hannah Frett,Waukesha,3:00:32,Chicago
NA,Therese Howe,Madison,3:03:32,Lakefront
21,Valerie A Hubbard,Onalaska,3:03:34,Boston
22,Megan Herrick,Madison,3:04:00,Chicago
23,Allison Pitt,St. Francis,3:04:38,Lakefront
24,Callie Bartel,Green Bay,3:04:59,Boston
25,Erin Andreski,Dousman,3:06:07,Twin Cities
26,Sara Kontos Weitz,NA,3:06:13,Fox Cities
27,Lisa Tavares,Colfax,3:06:35,Grandma's
28,Pamela Van Hout,Kimberly,3:07:28,Philadelphia
29,Monica M. Schoeneck,Muskego,3:08:32,Boston
30,Lauren Hintz,Wind Lake,3:08:55,WhistleStop
31,Annette Pufall,Ashland,3:10:00,Grandma's
32,Zoe Browne,Stevens Point,3:10:03,Twin Cities
33,Maggie Fournier,Onalaska,3:10:15,Fargo
34,Erin Moldenhauer,Ripon,3:10:20,Lakefront
35,Tara Burr,Eau Claire,3:10:25,Indianapolis Monumental
36,Hannah Floyd,NA,3:10:30,New York City
37,Hannah Erickson,Madison,3:10:32,Chicago
38,Kayla Gaulke,River Falls,3:11:29,Grandma's
39,Nicole Rivecca,NA,3:11:47,Lakefront
40,Kelly Ryan,NA,3:11:49,New York City
41,Carolyn Smith,Fox Point,3:11:59,Boston
42,Ann Alleman,Lancaster,3:12:20,Boston
43,Carly E Windt,Milwaukee,3:12:21,Boston
44,Shelley Navis,Watertown,3:12:51,Grandma's
45,Emily Jaehnig,Madison,3:13:32,Chicago
46,Lindsey M. Stanek,Madison,3:13:47,Boston
47,Stacey Marion,Madison,3:13:51,Boston
48,Tara Argall,Prairie Du Sac,3:13:56,Lakefront
49,Laura Schmitz,NA,3:14:07,Fox Cities
50,Mary Bolich,Plymouth,3:14:18,Lakefront
51,Michelle Lanouette,NA,3:14:28,Lakefront
52,Morgan Larson,La Crosse,3:14:40,Chicago
53,Nikki Cahen,Milwaukee,3:14:42,Wisconsin
54,Lauren Schroeder,NA,3:14:44,Lakefront
55,Terri Bodden,NA,3:14:53,Lakefront
56,Ruth Lunz,Milwaukee,3:14:57,Boston
57,Tara Smallidge,Kenosha,3:15:13,Chicago
58,Erin Feldhausen,NA,3:15:24,Lakefront
59,Annmarie Strehlow,Thiensville,3:15:33,Grandma's
60,Alison Huppert,La Crosse,3:15:45,Fargo
NA,Rebecca Heller,New Berlin,3:15:45,Milwaukee Running Festival
62,Hannah Janus,Mt. Horeb,3:16:10,Med-City
63,Anne Terranova,NA,3:16:21,Lakefront
64,Selina Ehrat,Cochrane,3:16:29,Twin Cities
65,Leah Schroeder,Madison,3:16:33,Boston
66,Amy Nipp,NA,3:16:36,Madison
67,Jennifer Ward,Franklin,3:16:53,Indianapolis Monumental
68,Catherine Cumming,Hudson,3:17:08,Twin Cities
69,Cindy Leuck,La Crosse,3:17:21,Grandma's
70,Amy Stelpflug,NA,3:18:14,Lakefront
71,Karen Swanson,Chippewa Falls,3:18:25,Rock 'n Roll (AZ)
72,Robin Thousand,NA,3:18:30,Lakefront
73,Tracey L. Kong,Madison,3:18:36,Boston
74,Rebekka Dow,Pewaukee,3:18:48,Chicago
75,Joy Keller,Deer Park,3:19:08,Grandma's
76,Erin Verkerke,Wausau,3:19:38,Twin Cities
77,Laura Mead,La Crosse,3:19:53,Grandma's
78,Courtney M. Susedik,South Milwaukee,3:20:01,Boston
79,Kelly Tyrrell,Madison,3:20:16,Grandma's
80,Ginna Irwin,Madison,3:20:17,Rockford
81,Erica Wagner,NA,3:20:22,Lakefront
82,Laurie A Winkelman,Appleton,3:20:24,Boston
83,Katie Gellings,North Fond du Lac,3:20:27,Twin Cities
84,Amy M Engnes,Bay City,3:20:34,Boston
85,Chelsea Wienfurtner,Appleton,3:20:46,Green Bay
86,Colleen Eland,Racine,3:20:57,Wisconsin
87,Bettina Hughes,Hartland,3:21:06,Boston
88,Lisa Reedich,Madison,3:21:28,Grandma's
89,Rachel Bero,Hartland,3:21:39,Milwaukee Running Festival
90,Julie Schoeneck,Milwaukee,3:21:49,Grandma's
91,Katherine J. Alft,Wauwatosa,3:22:06,Boston
92,Mary Flaws,Waukesha,3:22:18,Med-City
93,Sara Schmidt,Fond Du Lac,3:22:26,Chicago
94,Michelle Weber,NA,3:22:32,Lakefront
95,Amt Bares,Madison,3:22:38,Rockford
NA,Jamie Fleming,Milwaukee,3:22:38,Milwaukee Running Festival
97,Carrie L. Nitz,Van Dyne,3:22:39,Boston
98,Carrie Miller,De Pere,3:22:41,Boston
99,Jamie Riley,Eau Claire,3:22:43,Twin Cities
100,Alyssa Spaude,Pewaukee,3:22:46,Boston
101,Michelle Brunshidle,Hammond,3:22:57,Twin Cities
102,Amanda Sonnenberg,Green Bay,3:23:04,Grandma's
103,Teri M Sharp,New Richmond,3:23:08,Boston
NA,Anna Kacius,Milwaukee,3:23:08,California International
105,Hilary K. Eggen,Roberts,3:23:14,Boston
106,Laura Hamman,Madison,3:23:15,Mardi Gras
107,Katie Renz,Appleton,3:23:50,Boston
108,Ellen Kleinmaus,Waunakee,3:24:25,Twin Cities
109,Brynn A Devine,New Berlin,3:24:38,Boston
110,Asuka Eguchi,Madison,3:24:43,Grandma's
