Rank,Name,City,Time,Race
1,Tyler Sigl,Green Bay,2:19:17,U.S. Olympic Team Trials
2,Jason Ryf,Oshkosh,2:23:17,Twin Cities
3,Paul Zdroik,Watertown,2:27:08,Lakefront
4,Francis Eanes,Madison,2:28:58,Twin Cities
5,David Johnson,Madison,2:29:37,Chicago
NA,Zachary Meineke,Wauwatosa,2:29:37,Lakefront
7,Brian Condon,Madison,2:30:42,Chicago
8,Micah Hernandez,West Allis,2:31:53,Lakefront
9,Ben Garbe,NA,2:34:39,Des Moines
10,Jared Brandenburg,River Falls,2:34:54,Twin Cities
11,Ryan Richardson,Franklin,2:35:30,Lakefront
12,Nicholas Limoni,Franklin,2:36:06,Lakefront
13,Cameron Ausen,Milwaukee,2:36:30,Wisconsin
14,Mike Heling,Appleton,2:36:34,Green Bay
15,Brad Theyerl,Van Dyne,2:36:44,Lakefront
16,Marek Kotrly,Brookfield,2:37:38,Twin Cities
17,Scott Hayden,Eau Claire,2:37:44,Eau Claire
18,Nathan Weiland,Milwaukee,2:37:47,Grandma's
19,Jordan Williams,Sheboygan Falls,2:38:03,Fox Cities
20,Ben Cogger,Washburn,2:38:54,Grandma's
21,Andrew Beck,Germantown,2:39:23,Chicago
22,David McConville,Waukesha,2:39:50,Lakefront
23,Jason Bond,Mosinee,2:40:06,WhistleStop
24,Nick Seiske,Waukesha,2:40:12,Fox Cities
25,Andy Nesheim,Mequon,2:40:30,Chicago
26,Mike Treder,Belleville,2:40:55,Lakefront
27,Shad Gausmann,River Falls,2:41:00,Twin Cities
28,Luke Beirl,Ashland,2:41:05,WhistleStop
29,Tim Caramore,Madison,2:41:49,Grandma's
30,Daniel Erhardt,Madison,2:42:15,Lakefront
NA,Mike Heidke,Neenah,2:42:15,Fox Cities
32,Kyle Fraser,Milwaukee,2:42:28,Lakefront
33,Chris Schiemann,Madison,2:42:55,Detroit
34,Mahdi Rahimi,Madison,2:43:19,Twin Cities
35,Abe Mendoza,Appleton,2:43:23,Fox Cities
36,Dana Schulz,Germantown,2:43:41,Chicago
37,Carl Gladitsch,La Crosse,2:43:43,Sioux Falls
38,Andrew Parsel,Johnson Creek,2:43:53,Big Sur International
39,Erik Stafford,Fort Atkinson,2:43:55,Twin Cities
40,Matt Kruger,Oak Creek,2:44:02,Lakefront
41,David Gramer,Wausau,2:44:29,Chicago
42,Sean Luedke,Waukesha,2:44:35,Lakefront
43,Tim Kowols,Green Bay,2:45:10,Rock 'n Roll (StL)
44,Michael Borst,Slinger,2:45:30,Eisenbahn
45,George Carlson,Eau Claire,2:45:54,Eau Claire
46,T.J. Schmidt,Appleton,2:45:58,Fox Cities
47,Jon Fink,Muskego,2:46:40,Lakefront
48,Zach Zeisemer,Waukesha,2:47:27,Eau Claire
49,Ryan Stephens,Almond,2:48:44,Eau Claire
50,Igor Stevic,Whitefish Bay,2:48:58,Chicago
51,Jeffrey Hadzima,Madison,2:49:19,Chicago
52,Tony Bye,Chippewa Falls,2:49:36,WhistleStop
53,Eric Smithback,Edgerton,2:49:41,Wisconsin
54,Kyle Udovich,Waukesha,2:49:42,Twin Cities
55,Brandon McMurdie,Green Bay,2:50:02,Twin Cities
56,Mitchell Isaacson,Stevens Point,2:50:18,Eau Claire
57,David Krall,Madison,2:50:30,Boston
58,Juan Pablo De La Mora,East Troy,2:50:39,Rock 'n Roll (CA)
59,Matt Radtke,Merrill,2:50:45,Journeys
60,Matthew Geisfeldt,Madison,2:50:51,Wisconsin
61,Eric Sensman,Madison,2:51:30,Cowtown
62,Stuart Kolb,Green Bay,2:51:34,Boston
63,Seth Vircks,Boyd,2:52:04,Eau Claire
64,Robert Miles,La Crosse,2:52:07,Chicago
65,Bart Gurgel,Milwaukee,2:52:12,Boston
66,Brian Begalke,Sheboygan,2:52:35,Chicago
67,Richard Stefanovic,Milwaukee,2:53:08,Lakefront
68,Jonathan Lindberg,Lake Nebagamon,2:53:18,Grandma's
69,Kyle Donovan,NA,2:53:20,Houston
70,Neill O'Brien,Milwaukee,2:53:22,Twin Cities
71,John Beirl,Ashland,2:53:25,Paavo Nurmi
72,Drew Ehlert,Madison,2:53:38,Indianapolis Monument
73,Jeff Kobinsky,Wauwatosa,2:53:44,Mardi Gras
74,Paul Rockwood,Superior,2:53:47,Grandma's
75,Damon Parr,Brookfield,2:53:51,Twin Cities
76,Timothy Wucherer,Hudson,2:53:57,Twin Cities
77,Brian Udovich,Oconomowoc,2:54:04,Twin Cities
78,John Demetropoulos,Madison,2:54:10,Chicago
79,Joseph Paille,Mt. Horeb,2:54:27,Mankato
80,Griffin Schroeder,Hartland,2:54:31,Lakefront
81,Ralph Grunewald,Madison,2:54:34,Lakefront
NA,Rob Yamry,Freedom,2:54:34,Fox Cities
83,Mark Besaw,New London,2:54:40,Journeys
84,Jordan Herrick,Colfax,2:54:42,Eau Claire
85,Charlie Green,Sheboygan,2:54:46,Lakefront
86,Michael Olson,Altoona,2:55:07,Twin Cities
87,Benjamin Kermse,River Falls,2:55:11,Disney World
88,Eamon McKenna,Milwaukee,2:55:17,Boston
89,Tony Heintz,Rio,2:55:19,San Francisco
90,Miles Oschwald,Milwaukee,2:55:32,Omaha
91,Mark Siebenaller,Neenah,2:55:34,Fox Cities
92,Brady Dangelser,Franksville,2:55:35,Lake Geneva
93,Michael Thomas,Madison,2:55:37,Fox Cities
94,Thaddeus Peterson,La Crosse,2:55:41,Fox Cities
95,Matt Berndt,Oshkosh,2:55:57,Lakefront
96,Thomas Datwyler,Hudson,2:55:57,Twin Cities
97,Russell De Lap,Brookfield,2:56:03,Lakefront
98,Michael Henze,Neenah,2:56:07,Carmel
99,Ty Shea,Madison,2:56:15,Lakefront
100,Timothy Martin,Sussex,2:56:16,Paavo Nurmi
101,Roman Pyasta,Wauwatosa,2:56:21,Chicago
102,Jason Scott,Green Bay,2:56:58,Fox Cities
103,Stephen Tietz,Port Washington,2:57:03,IceBreaker
104,Chris Pappathopoulas,Sun Prairie,2:57:19,American Birkebeiner
