Rank,Name,City,Time,Race
2,Jason Ryf,Oshkosh,2:29:14,NA
3,David Williams,Milwaukee,2:29:46,NA
4,James Levash,Brillion,2:30:02,NA
5,John Mirth,Platteville,2:32:01,NA
6,Tony Meyers,Hudson,2:32:17,NA
7,Mark Manz,Kiel,2:32:31,NA
8,Fantaw Hussen,Green Bay,2:32:59,NA
9,Aaron Nodolf,Menomonee Falls,2:34:01,NA
10,Eric Pilling,Shorewood,2:34:33,NA
11,Joe Kurian,Madison,2:35:19,NA
12,Austin Johnson,Madison,2:35:24,NA
13,Zach Bitter,Manitowoc,2:36:09,NA
14,Paul Laeseke,Madison,2:36:38,NA
15,Paul Riley,Madison,2:36:53,NA
16,Andy Ruffalo,Kenosha,2:38:08,NA
17,Mark Evans,Kaukauna,2:38:28,NA
18,Mike Heidke,Neenah,2:38:31,NA
19,Cameron Cummings,Wild Rose,2:39:36,NA
20,Eric Gullickson,Muskego,2:39:52,NA
21,Tim Donahugh,Mukwonago,2:41:05,NA
22,Christopher Hess,Madison,2:41:41,NA
23,Patrick Schneider,Stoughton,2:41:47,NA
24,Nick Seiske,Greenfield,2:41:52,NA
NA,Nate Weiland,Milwaukee,2:41:52,NA
26,Rick Stefanovic,Milwaukee,2:42:19,NA
27,Chris McGinness,Milwaukee,2:42:23,NA
28,Dale Kloiber,Madison,2:42:32,NA
29,Codie Dull,Soldiers Grove,2:42:33,NA
30,Matthew Giesfeldt,Madison,2:42:42,NA
31,Jeffrey Morgan,Hartland,2:43:09,NA
32,Bryan Schneider,Plover,2:43:15,NA
33,Eric Held,Madison,2:43:19,NA
34,Marek Kotrly,Brookfield,2:43:32,NA
35,Matt Tupta,West Bend,2:43:53,NA
36,Brad Seeley,Weston,2:44:02,NA
37,Benjamin Kimse,River Falls,2:44:26,NA
38,Jared Kasten,Sparta,2:44:51,NA
39,Craig Lanza,Wauwatosa,2:45:35,NA
40,Erik Bartelson,Waukesha,2:45:39,NA
41,Larry Mboga,Eau Claire,2:45:42,NA
42,Eric Atkinson,Spooner,2:46:00,NA
43,Kyle Udovich,Waukesha,2:46:18,NA
44,Wade Bergner,Maiden Rock,2:46:34,NA
45,T.J. Schmidt,Appleton,2:47:41,NA
46,Joe Marks,Madison,2:48:02,NA
47,Erik Rasmussen,Arena,2:48:03,NA
48,Evam Joyce,Brookfield,2:48:09,NA
49,Kit Wobeter,Madison,2:48:19,NA
50,Ronaldo Ribeiro,Madison,2:48:32,NA
51,Stuart Kolb,Green Bay,2:49:00,NA
52,Kyle Zygarlicke,LaCrosse,2:49:05,NA
53,Matthew Groose,Madison,2:49:36,NA
