Rank,Name,City,Time,Race
1,Michele Lee,Sun Prairie,2:41:22,Green Bay
2,Caitlin Kowalke,NA,2:43:55,Madison
3,Katie Schiemann,Middleton,2:44:16,Houston
4,Naomi Fulton,Hartland,2:50:48,Boston
5,Jill Wojta,Onalaska,2:52:01,Twin Cities
6,Lindsey Stanek,Madison,2:54:36,Grandma's
7,Callie Bartel,Green Bay,2:56:38,Grandma's
8,Corina Canitz,Brookfield,2:56:51,Lakefront
9,Stacey Kincaid,Palmyra,2:58:13,Phoenix
10,Chloe Staub,Milwaukee,2:59:26,Illinois
11,Samantha Gries,Shorewood,2:59:44,Boston
12,Amy Schlotthauer,Menomonee Falls,2:59:50,Grandma's
13,Tracey Rooney,Madison,3:00:14,Grandma's
14,Megan Herrick,Madison,3:00:33,Twin Cities
15,Kathy Derks,NA,3:01:33,Fox Cities
16,Andrea Simon,Waunakee,3:01:36,Indianapolis Monumental
17,Marie Peterson,Hartland,3:02:32,Wisconsin
18,Tammi Braund,Cushing,3:02:56,Grandma's
19,Andrea Berke,Oconomowoc,3:03:06,New York City
20,Lisa Johnson,Racine,3:03:28,Green Bay
21,Lauren Fuqua,Milwaukee,3:03:36,Lakefront
22,Megan Stelljes,Madison,3:03:57,Grandma's
23,Kris Rostas,Appleton,3:04:01,St. George
24,Erin Wetzstein,Hudson,3:04:29,Twin Cities
25,Allison Pitt,Milwaukee,3:04:35,Boston
26,Hannah Janus,NA,3:06:50,Madison
27,Sarah Mahaney,Menasha,3:06:55,Green Bay
28,Julie Wankowski,Deforest,3:07:14,Grandma's
29,Heather Newberry,Shorewood,3:07:34,Lakefront
30,Hannah Erl,Wauwatosa,3:07:46,Lakefront
31,Emily Raykovich,Madison,3:08:12,Green Bay
32,Mary Katherine Andrews,Madison,3:08:38,Boston
33,Sophia House,Milwaukee,3:09:05,Twin Cities
34,Anne Tully,McFarland,3:09:31,Indianapolis Monumental
35,Stephanie Cloutier,Elk Mound,3:10:42,Boston
36,Andrea Mueller,Athens,3:10:58,St. George
37,Danielle Kulpins,Brookfield,3:11:21,Grandma's
38,Kate Bird,Milwaukee,3:11:21,Grandma's
39,Kris Bachman,Pewaukee,3:11:27,Lakefront
40,Tara Burr,Eau Claire,3:11:29,Boston
41,Erika Owens,Chilton,3:11:32,Grandma's
42,Shawn Johnson,Muskego,3:11:42,Indianapolis Monumental
43,Madeline Krafka,Greenville,3:12:07,Marquette
44,Katie Herald,Marshfield,3:12:33,Mankato
45,Sarah Mikesell,Shorewood,3:13:12,Lakefront
46,Kayla Pedersen,New Richmond,3:13:28,Fargo
47,Kelly Tyrrell,Madison,3:13:37,Grandma's
48,Erin Andreski,Dousman,3:14:00,Twin Cities
49,Jennifer Markham,NA,3:14:13,Fox Cities
50,Cassie Nelson,Wauwatosa,3:14:16,Twin Cities
51,Alexandra Warzecha,Portage,3:14:25,Twin Cities
52,Jenny Binkowski,Madison,3:14:27,Green Bay
53,Sabrina Sanchez,Arlington,3:14:29,Lakefront
54,Becky Vander Heiden,Monona,3:14:31,Lakefront
55,Kristine Schisler,Verona,3:14:35,Indianapolis Monumental
56,Lisa Turner,Oconomowoc,3:14:50,Last Chance BQ.2 Chicagoland
57,Emily Janowski,Milwaukee,3:15:01,Carmel
58,Quinn Olson,Deerfield,3:15:11,L.A.
59,Jennifer Ward,Franklin,3:15:20,New York City
60,Jessica Mehre,Glenbeula,3:15:47,Green Bay
61,Kelli Grundmann,Elkhorn,3:16:01,Lakefront
62,Allison Abbott,Shorewood,3:16:09,Lakefront
63,Kelly April Tyrrell,Madison,3:16:23,New York City
64,Madeline Harms,Madison,3:16:57,Twin Cities
65,Leah Bowman,Menominee,3:17:16,Twin Cities
66,Michelle Lanouette,NA,3:17:41,Madison
67,Katherine Girouad,Madison,3:17:46,Boston
68,Brittany Gibson,Oakfield,3:18:09,Twin Cities
69,Kelly Donoghue,Brookfield,3:18:16,Lakefront
70,Cammie Beck,Waukesha,3:18:17,Boston
71,Katie Gellings,NA,3:18:25,Fox Cities
72,Melissa Moore,Boyceville,3:18:44,Grandma's
73,Katie MacE,NA,3:19:22,Madison
