Rank,Name,City,Time,Race
1,Jason Ryf,Oshkosh,2:23:06,Boston
2,Brian Finnel,Madison,2:23:47,Chicago
3,John Heitzman,Superior,2:24:02,Grandma's
4,Tyler Sigl,Green Bay,2:24:20,Twin Cities
5,Ben Orvold,Kenosha,2:26:37,Green Bay
6,Jared Brandenburg,River Falls,2:27:06,Twin Cities
7,Ryan Meissen,Mukwonago,2:28:23,Lakefront
8,Zachary Bruns,Milwaukee,2:29:15,Twin Cities
9,Zachary Meineke,Wauwatosa,2:30:04,Lakefront
10,Zach Bitter,Marinette,2:31:29,IceBreaker
11,Nicholas Nimoni,Franklin,2:31:46,Boston
12,Mike Heling,Appleton,2:32:46,Fox Cities
13,Cameron Ausen,Milwaukee,2:33:10,Boston
14,Patrick Klein,Monroe,2:33:24,Fox Cities
15,Joe Kilkus,Madison,2:34:36,Twin Cities
16,Jordan Williams,Sheboygan Falls,2:34:42,Fox Cities
17,Thomas Wells,Browntown,2:35:36,Lakefront
18,Justin Goetz,Marshfield,2:35:44,Twin Cities
19,Micah Hernandez,West Allis,2:36:07,Lakefront
20,Eric Senseman,Madison,2:36:18,National
21,Scott Hayden,Eau Claire,2:36:51,Eau Claire
22,Justin Wiens,Madison,2:36:59,Boston
23,Joshua Johnson,Waukesha,2:37:53,Chicago
24,Kyle Fraser,Milwaukee,2:38:01,Lakefront
25,Justin Deeg,Shell Lake,2:38:23,Grandma's
26,Abe Mendoza,Sherwood,2:38:29,Fox Cities
27,David Williams,Milwaukee,2:38:55,Twin Cities
28,Rodee Schneider,Appleton,2:38:57,Lakefront
29,Daniel Erhardt,Madison,2:39:08,Boston
30,Carl Gladitsch,Bloomer,2:39:14,Boston
31,Jeremy Cook,Hudson,2:39:47,Grandma's
32,Robert Deegan,Madison,2:39:51,Madison
33,Justin Stakston,La Crosse,2:39:55,Madison
34,Eric Pilling,Shorewood,2:40:09,Lakefront
35,Alexander Devillers,Menomonee Falls,2:40:22,Lakefront
36,Paul Rockwood,Superior,2:40:37,Grandma's
37,Mason Grundy,Menasha,2:40:47,Fox Cities
38,Anthony Sobrilsky,De Pere,2:41:14,Detroit
39,Tj Schmidt,Appleton,2:41:16,Fox Cities
40,David McConville,Waukesha,2:42:44,Lakefront
41,David Cohen,Milwaukee,2:43:00,IceBreaker
42,David Krall,Madison,2:43:01,Lakefront
43,Chris Schiemann,Madison,2:43:34,Twin Cities
44,Mike Treder,Belleville,2:43:36,Twin Cities
45,Michael James,Kaukauna,2:44:05,Fox Cities
46,Brian Peterson,Oshkosh,2:44:38,Fox Cities
47,Michael Heidke,Neenah,2:44:57,Fox Cities
48,Nicholas Plocar,Sheboygan,2:45:26,Lincoln
49,Eric Johnson,La Crosse,2:45:34,Twin Cities
50,Jason Bond,Mosinee,2:45:42,Marquette
51,Devin Dilts,Middleton,2:45:45,Rockford
52,Brian Shonat,Grafton,2:46:21,IceBreaker
53,Jon Lindberg,Lake Nebagamon,2:46:22,Twin Cities
54,Dustin Baldwin,Madison,2:46:34,Green Bay
55,Sean Leudke,Waukesha,2:46:40,Boston
56,Eric Tatge,Brown Deer,2:47:16,Lakefront
NA,Lonnie Dye,Milwaukee,2:47:16,Madison
58,Brian Falcone,Kenosha,2:47:35,Twin Cities
59,Andy Nesheim,NA,2:47:47,New York City
60,Bret Austin,Edgerton,2:47:49,Indianapolis Momumental
61,Nathan Schwartzendruber,Milwaukee,2:47:51,Boston
62,Benjamin Kirmse,Prescott,2:48:11,Fox Cities
NA,Mark Siebenaller,Neenah,2:48:11,Fox Cities
64,Shelby Anderson,Madison,2:48:17,Madison
65,Jeremy Duss,Monona,2:48:19,Fox Cities
66,Matt Radtke,Merrill,2:48:33,Journeys
67,Tim Kowols,Green Bay,2:48:34,Chicago
68,Andrew Jungwirth,Fitchburg,2:48:50,Fox Cities
69,Robert Niesen,Milwaukee,2:48:56,Boston
70,Brandon McMurdie,Green Bay,2:49:01,Chicago
71,Matthew Krall,Madison,2:50:24,Haunted Hustle
72,Tony Bye,Chippewa Falls,2:49:15,WhistleStop
73,Joe Gapinski,Colgate,2:49:20,Boston
74,David Luy,Brookfield,2:49:22,Chicago
75,Dan Buvid,La Crosse,2:49:24,Boston
76,Joe Kurian,Madison,2:49:32,Madison
77,Patrick Schneider,Stoughton,2:49:34,Chicago
78,Drew Ehlert,Madison,2:49:36,Chicago
79,Tim King,New Berlin,2:49:41,Grandma's
80,Neill O'Brien,Milwaukee,2:49:49,Twin Cities
81,Nicholas Rodina,Greendale,2:49:59,Lakefront
82,Nick Seiske,Waukesha,2:50:21,Fox Cities
83,Curt Kaczor,Wauwatosa,2:50:45,Lakefront
84,Matthew Treat,Whitefish Bay,2:51:21,Wisconsin
85,Josh Dietsche,Monona,2:51:24,Des Moines
86,Geoffrey Horton,Milwaukee,2:51:31,Lakefront
87,Miles Oschwald,Milwaukee,2:51:55,Maryville
