Rank,Name,City,Time,Race
1,Mike Reneau,NA,2:16:45,New York City
2,Tyler Sigl,Seymour,2:17:28,Twin Cities
3,Matt Hooley,NA,2:18:38,Eugene
4,Mathew Chesang,Eau Claire,2:21:00,Indianapolis Monumental
5,David Williams,Milwaukee,2:21:50,Chicago
6,Jason Ryf,Oshkosh,2:22:39,Chicago
7,Jason Finch,River Falls,2:24:13,Portland
8,Ryan Meissen,Mukwonago,2:24:53,Lakefront
9,Aaron Nodolf,Menomonee Falls,2:28:49,Lakefront
10,Nick Boehlke,Oshkosh,2:30:32,Green Bay
11,Wes Shaughnessy,Verona,2:30:54,California International
12,Charles Kamindo,Marshall,2:31:24,Des Moines
13,Justin Stakston,La Crosse,2:32:10,La Crosse
14,James Levash,Brillion,2:32:21,Green Bay
15,Timothy Willcox,Madison,2:32:42,Chicago
16,Paul Riley,Madison,2:33:23,La Crosse
17,Austin Johnson,Madison,2:33:44,Lakefront
18,Eric Gullickson,Milwaukee,2:34:06,Lakefront
19,Cameron Cummings,Milwaukee,2:34:16,Boston
20,Tony Meyers,Hudson,2:34:24,Eau Claire
21,Samuel Jurek,La Crosse,2:34:35,Disney World
22,Cameron Ausen,Milwaukee,2:35:13,Lakefront
23,Mike Heidke,Neenah,2:35:30,Fox Cities
24,Bryan Schneider,Plover,2:36:45,Boston
25,Riley Kehoe,Hales Corners,2:36:48,Lakefront
26,Joe Kurian,Madison,2:36:57,Madison
27,Mike Heling,Greenville,2:37:33,Fox Cities
28,Mark Evans,Kaukauna,2:38:42,Twin Cities
29,Andrew Redmann,Eau Claire,2:38:43,Chicago
30,Andy Ruffalo,West Bend,2:39:03,Boston
31,Marek Kotrly,Brookfield,2:39:23,Chicago
32,Joe Sepe,Madison,2:39:41,Chicago
33,Jason Mayer,Grafton,2:39:51,National
34,Eric Pilling,Shorewood,2:40:44,Boston
35,Zach Bitter,Manitowoc,2:41:46,Des Moines
36,Jeffrey Hadzima,Madison,2:41:55,Chicago
37,Scott Jansky,NA,2:42:05,Bismark
38,Steve Horn,Madison,2:43:04,Boston
39,Eddie Holzem,Greenville,2:43:46,Boston
40,Joe Marks,Fitchburg,2:44:16,Boston
41,John Mirth,Platteville,2:44:56,Grandma's
42,Erik Rasmussen,Arena,2:44:59,Boston
43,Adam Gibbs,Madison,2:45:03,Indianapolis
44,Evan Joyce,Brookfield,2:45:26,Lakefront
NA,Michael White,Madison,2:45:26,Chicago
46,Nick Seiske,Waukesha,2:45:28,Lakefront
47,T.J. Schmidt,Appleton,2:46:22,Fox Cities
48,Dana Schulz,Germantown,2:46:38,Green Bay
49,David Schonscheck,Omro,2:46:39,Twin Cities
50,Rick Stefanovic,Milwaukee,2:46:42,Boston
51,Brandon Lesky,Milwaukee,2:46:55,Boston
52,Timothy Valley,Madison,2:47:54,Green Bay
53,Kyle Fraser,Milwaukee,2:48:01,Rock 'n Roll (AZ)
54,Zach Geelan,Madison,2:48:02,Boston
55,Michael Henze,Neenah,2:48:10,Green Bay
56,Patrick Schneider,Stoughton,2:48:13,Boston
57,Rick Rischman,Grafton,2:48:41,Wisconsin
58,Kim Lasecki,De Pere,2:48:50,Chicago
59,Ryan Butzman,Menomonee Falls,2:48:56,Green Bay
60,Codie Dull,Soldiers Grove,2:49:03,Lakefront
61,Bart Gurgel,Milwaukee,2:49:11,Chicago
62,Albertus Rohling,West Allis,2:49:17,Icebreaker
63,Tyler Fyock,Franklin,2:49:19,WhistleStop
64,Stuart Kolb,Green Bay,2:49:34,Lakefront
65,Jesse Spankowski,Portage,2:49:42,Fox Cities
66,Alan Harris,Madison,2:49:49,Chicago
67,Joshua Johnson,Mukwonago,2:49:51,Lakefront
67,Matthew Larsen,Milwaukee,2:50:27,Chicago
69,Jamie Arenz,Valders,2:50:37,Green Bay
70,Matt Sveum,Wauwatosa,2:50:38,Icebreaker
71,Jim Gross,Milwaukee,2:51:13,Green Bay
72,Todd Marohl,Green Bay,2:51:16,Green Bay
73,Steve Nelson,Shorewood,2:51:17,Chicago
74,Mike Treder,Madison,2:51:23,Lakefront
75,Michael Hill,Oregon,2:51:34,Fox Cities
76,Chaz Heckman,Sussex,2:51:44,Lakefront
77,Benjamin Kirmse,River Falls,2:51:59,Fox Cities
78,Kit Wobeter,Madison,2:52:02,Boston
79,Ted Shue,Glendale,2:52:08,Houston
80,Archie Barribeay,North Fond du Lac,2:52:13,Quad Cities
81,Bruce Holmes,Glendale,2:52:22,Houston
82,Jesse Drake,Neenah,2:52:23,Twin Cities
NA,Tim King,Milwaukee,2:52:23,Boston
84,Matthew Giesfeldt,Madison,2:52:40,Fox Cities
85,David Meixelsperger,Middleton,2:52:53,Chicago
86,Jason Fast,Oshkosh,2:52:58,Fox Cities
87,Brian Udovich,Oconomowoc,2:53:02,Ocean Drive
88,Christopher Trost,Milwaukee,2:53:13,Lakefront
NA,Salvatore Graziano,Milwaukee,2:53:13,Boston
90,Jeremy Duss,Cottage Grove,2:53:17,Fox Cities
NA,Matthew De Witt,Kenosha,2:53:17,Lakefront
92,Stephen Tietz,Port Washington,2:53:20,Fox Cities
93,Mark Meyers,Hartland,2:53:42,Lakefront
94,Tom Zuhlke,Wyocena,2:54:02,Memphis
95,Matt Howard,La Crosse,2:54:05,Med-City
96,Matthew Treat,La Crosse,2:54:09,Madison
97,Nicholas La Luzerne,Madison,2:54:13,Memphis
98,Evan Cestari,Three Lakes,2:54:17,Boston
99,Mike Nelson,Franklin,2:54:40,Lakefront
100,Brian Condon,Brookfiled,2:54:41,WhistleStop
101,Shelby Anderson,Madison,2:54:43,Twin Cities
102,I. George Ogutu,Milwaukee,2:54:50,Lakefront
103,Kyle Donovan,Beloit,2:54:54,Twin Cities
104,Jim Schmidt,Waukesha,2:54:55,Lakefront
105,Michael Olson,Altoona,2:55:11,WhistleStop
105,Kane Baker,West Allis,2:55:19,Lakefront
107,Bernardo Yanez,Madison,2:55:35,Boston
108,Matt Radtke,Merrill,2:55:38,Fox Cities
109,Jared Kasten,Sparta,2:55:42,WhistleStop
110,Dan Dowd,Milwaukee,2:55:52,Chicago
111,Travis Grossen,Janesville,2:56:02,Madison
112,Rob McGaff,La Crosse,2:56:06,Madison
113,Emmanuel Hess,Milwaukee,2:56:07,Lakefront
114,John Homberg,Milwaukee,2:56:08,Chicago
115,Steve Nathans Kelly,Madison,2:56:18,Chicago
116,Griffin Schroeder,Hartland,2:56:26,Green Bay
117,Ben Paynter,La Crosse,2:56:33,WhistleStop
118,Brad Poppele,De Pere,2:56:49,Green Bay
119,Robert Williams,East Troy,2:56:56,Chicago
120,James Ricker,West Allis,2:57:03,Lakefront
121,Michael Pajewski,Madison,2:57:24,WhistleStop
122,Tim Laird,Greenville,2:57:25,Journeys
123,Tony Kraszewski,De Pere,2:57:37,Green Bay
124,Eric Smithback,Oregon,2:57:38,Twin Cities
NA,John Gorman,Madison,2:57:38,Chicago
126,Neill OBrien,Milwaukee,2:57:44,Chicago
127,Jason Enke,Stoughton,2:57:48,Fox Cities
128,Dan Laplante,Sheboygan,2:57:49,Fox Cities
NA,John Jameson,Milwaukee,2:57:49,Indianapolis Monumental
130,Erik Bartelson,Waukesha,2:57:57,Chicago
NA,Jason Kirch,Prairie Du Sac,2:57:57,Madison
132,Victor Vilar,Menomonee Falls,2:57:58,Chicago
133,Scott Topel,Madison,2:58:04,Chicago
134,Thomas Kielpinski,Middleton,2:58:05,Madison
135,Daniel Drier,Columbus,2:58:07,WhistleStop
NA,Joe Gapinski,Colgate,2:58:07,Lakefront
137,Federico Garcia, Jr.,Kenosha,2:58:08,Boston
NA,Jeff Curtin,Appleton,2:58:08,Fox Cities
139,Mark Besaw,New London,2:58:10,Journeys
140,Brett Fenner,Sun Prairie,2:58:15,Boston
141,Andrew Osmond,Madison,2:58:20,Fox Cities
142,Joe Meronk,Madison,2:58:29,Des Moines
143,David Michielli,NA,2:58:30,New York City
144,Thomas Wetter,Stevens Point,2:58:33,Boston
145,Isaiah Degner,Appleton,2:58:35,Lakefront
146,Matthew Kruger,Hales Corners,2:58:40,Lakefront
147,Eric Hanson,Madison,2:58:41,Madison
148,Chris Desroches,Madison,2:58:42,Twin Cities
149,Jeffrey Kobinsky,NA,2:58:52,New York City
150,Ralph Grunewald,Madison,2:58:53,Lakefront
151,Nick Hietpas,Kaukauna,2:58:54,Chicago
152,John Moore,Shorewood,2:58:57,Chicago
153,John Lancaster,Wauwatosa,2:58:58,Wisconsin
154,Dana Fluet,NA,2:59:00,Bayshore
NA,Paul Martin,Wausau,2:59:00,WhistleStop
156,Rusty Boram,Menomonee Falls,2:59:10,Chicago
157,Eric Tadt,Janesville,2:59:12,Twin Cities
158,Jeffrey Hoffman,Oconomowoc,2:59:18,Philadelphia
159,Timothy Tikalsky,Wauwatosa,2:59:26,Rock 'n Roll (AZ)
160,Mike Lavery,NA,2:59:54,New York City
161,Tim Murphy,Milwaukee,2:59:56,Chicago
162,Chris Ponteri,Wind Lake,2:59:58,Lakefront
